ticker,ym,month_end,revenue
2376,2026-01,2026-01-01,30306210000
2376,2025-12,2025-12-01,30729748000
2376,2025-11,2025-11-01,28318245000
2376,2025-10,2025-10-01,27988237000
2376,2025-09,2025-09-01,23888296000
2376,2025-08,2025-08-01,27690083000
2376,2025-07,2025-07-01,25447702000
2376,2025-06,2025-06-01,46728346000
2376,2025-05,2025-05-01,30098100000
2376,2025-04,2025-04-01,22322801000
2376,2025-03,2025-03-01,22326218000
2376,2025-02,2025-02-01,21091561000
2376,2025-01,2025-01-01,17597178000
2376,2024-12,2024-12-01,22242930000
2376,2024-11,2024-11-01,25771684000
2376,2024-10,2024-10-01,26735874000
2376,2024-09,2024-09-01,24662927000
2376,2024-08,2024-08-01,19035807000
2376,2024-07,2024-07-01,22932130000
2376,2024-06,2024-06-01,22477138000
2376,2024-05,2024-05-01,28523875000
2376,2024-04,2024-04-01,24253194000
2376,2024-03,2024-03-01,13968881000
2376,2024-02,2024-02-01,16930021000
2376,2024-01,2024-01-01,12845855000
2376,2023-12,2023-12-01,15915793000
2376,2023-11,2023-11-01,16764958000
2376,2023-10,2023-10-01,16271282000
2408,2026-09,2026-09-01,44690268000
2408,2026-08,2026-08-01,43867609000
2408,2026-07,2026-07-01,29388309000
2408,2026-06,2026-06-01,27669563000
2408,2026-05,2026-05-01,25491201000
2408,2026-04,2026-04-01,18169760000
2408,2026-03,2026-03-01,15607184000
2408,2026-02,2026-02-01,15309988000
2408,2026-01,2026-01-01,12017152000
2408,2025-12,2025-12-01,10168737000
2408,2025-11,2025-11-01,7907729000
2408,2025-10,2025-10-01,6664140000
2408,2025-09,2025-09-01,6762501000
2408,2025-08,2025-08-01,5352227000
2408,2025-07,2025-07-01,4074153000
2408,2025-06,2025-06-01,3333121000
2408,2025-05,2025-05-01,3118820000
2408,2025-04,2025-04-01,2752833000
2408,2025-03,2025-03-01,2272734000
2408,2025-02,2025-02-01,2162373000
2408,2025-01,2025-01-01,2205531000
2408,2024-12,2024-12-01,2187326000
2408,2024-11,2024-11-01,2182240000
2408,2024-10,2024-10-01,2584927000
2408,2024-09,2024-09-01,2802250000
2408,2024-08,2024-08-01,2745416000
2408,2024-07,2024-07-01,3363197000
2408,2024-06,2024-06-01,3351375000
2408,2024-05,2024-05-01,3206471000
2408,2024-04,2024-04-01,3391358000
2408,2024-03,2024-03-01,3050934000
2408,2024-02,2024-02-01,3060645000
2408,2024-01,2024-01-01,3161948000
2408,2023-12,2023-12-01,2874000000
2408,2023-11,2023-11-01,2668030000
2408,2023-10,2023-10-01,2724287000
2409,2026-09,2026-09-01,23101650000
2409,2026-08,2026-08-01,20370071000
2409,2026-07,2026-07-01,24952469000
2409,2026-06,2026-06-01,23838344000
2409,2026-05,2026-05-01,22100381000
2409,2026-04,2026-04-01,26020730000
2409,2026-03,2026-03-01,20505355000
2409,2026-02,2026-02-01,22505270000
2409,2026-01,2026-01-01,25189520000
2409,2025-12,2025-12-01,24036310000
2409,2025-11,2025-11-01,20915737000
2409,2025-10,2025-10-01,24445426000
2409,2025-09,2025-09-01,24539457000
2409,2025-08,2025-08-01,20922673000
2409,2025-07,2025-07-01,21921538000
2409,2025-06,2025-06-01,24177397000
2409,2025-05,2025-05-01,23137814000
2409,2025-04,2025-04-01,25852917000
2409,2025-03,2025-03-01,24605664000
2409,2025-02,2025-02-01,21643289000
2409,2025-01,2025-01-01,24593946000
2409,2024-12,2024-12-01,23256940000
2409,2024-11,2024-11-01,20873385000
2409,2024-10,2024-10-01,25871576000
2409,2024-09,2024-09-01,27012994000
2409,2024-08,2024-08-01,24863565000
2409,2024-07,2024-07-01,25221323000
2409,2024-06,2024-06-01,25339522000
2409,2024-05,2024-05-01,23767101000
2409,2024-04,2024-04-01,21203584000
2409,2024-03,2024-03-01,19832105000
2409,2024-02,2024-02-01,18441642000
2409,2024-01,2024-01-01,21996796000
2409,2023-12,2023-12-01,20181223000
2409,2023-11,2023-11-01,21167778000
2409,2023-10,2023-10-01,24568621000
2454,2026-08,2026-08-01,48474930000
2454,2026-07,2026-07-01,58011756000
2454,2026-06,2026-06-01,47434191000
2454,2026-05,2026-05-01,46736664000
2454,2026-04,2026-04-01,63219184000
2454,2026-03,2026-03-01,38954271000
2454,2026-02,2026-02-01,46977055000
2454,2026-01,2026-01-01,51266079000
2454,2025-12,2025-12-01,46895680000
2454,2025-11,2025-11-01,52026251000
2454,2025-10,2025-10-01,54330057000
2454,2025-09,2025-09-01,44546643000
2454,2025-08,2025-08-01,43220164000
2454,2025-07,2025-07-01,56433621000
2454,2025-06,2025-06-01,45180526000
2454,2025-05,2025-05-01,48754424000
2454,2025-04,2025-04-01,55996226000
2454,2025-03,2025-03-01,46171723000
2454,2025-02,2025-02-01,51144288000
2454,2025-01,2025-01-01,41683430000
2454,2024-12,2024-12-01,45242346000
2454,2024-11,2024-11-01,51117348000
2454,2024-10,2024-10-01,44675936000
2454,2024-09,2024-09-01,41527835000
2454,2024-08,2024-08-01,45609723000
2454,2024-07,2024-07-01,43092056000
2454,2024-06,2024-06-01,42151178000
2454,2024-05,2024-05-01,42027887000
2454,2024-04,2024-04-01,50479987000
